QS Global MBA 2026 Rank,School Name,Country,Official Domains,Common Aliases,Saved Roster URL
1,University of Pennsylvania (Wharton),United States,upenn.edu,upenn | wharton,https://accounting.wharton.upenn.edu/faculty/faculty-list/
2,Harvard Business School,United States,hbs.edu | harvard.edu,harvard | hbs,
3,Massachusetts Institute of Technology (Sloan),United States,mit.edu,mit | sloan,https://mitsloan.mit.edu/faculty/academic-groups/accounting/faculty-research-centers
4,Stanford University (Graduate School of Business),United States,stanford.edu,stanford | stanford gsb,https://www.gsb.stanford.edu/faculty-research/faculty/academic-areas/accounting
5,HEC Paris,France,hec.edu,hec paris,
6,London Business School,United Kingdom,london.edu,london business school | lbs,
7,University of Cambridge (Judge Business School),United Kingdom,cam.ac.uk,cambridge | judge,
8,INSEAD,France,insead.edu,insead,
9,Northwestern University (Kellogg),United States,northwestern.edu,northwestern | kellogg,https://www.kellogg.northwestern.edu/faculty-research/faculty-directory/
10,Columbia University (Columbia Business School),United States,columbia.edu,columbia | columbia business,https://business.columbia.edu/faculty/divisions/accounting/faculty
11,IE Business School,Spain,ie.edu,ie business,
=12,University of Oxford (Saïd Business School),United Kingdom,ox.ac.uk,oxford | said,
=12,Yale School of Management,United States,yale.edu,yale,
14,"University of California, Berkeley (Haas)",United States,berkeley.edu,berkeley | haas | ucb,https://haas.berkeley.edu/faculty-research/academic-groups/
=15,University of Chicago (Booth),United States,chicagobooth.edu | uchicago.edu,chicago booth | booth,
=15,IESE Business School,Spain,iese.edu,iese,
17,New York University (Stern),United States,nyu.edu,nyu | stern,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/academic-departments/accounting/faculty-staff/full-time-faculty
18,"University of California, Los Angeles (Anderson)",United States,ucla.edu,ucla | anderson,https://www.anderson.ucla.edu/faculty-and-research/accounting/faculty
19,Imperial College Business School,United Kingdom,imperial.ac.uk,imperial,
20,SDA Bocconi School of Management,Italy,sdabocconi.it | unibocconi.it,sda bocconi | bocconi,
21,Esade Business School,Spain,esade.edu,esade,
22,University of Michigan (Ross),United States,umich.edu,umich | ross,https://michiganross.umich.edu/faculty-research/areas-of-study/accounting
23,National University of Singapore (NUS Business School),Singapore,nus.edu.sg,nus,
24,Duke University (Fuqua),United States,duke.edu,duke | fuqua,https://www.fuqua.duke.edu/faculty-research/directory/all
25,IMD Business School,Switzerland,imd.org,imd,
26,ESCP Business School,France,escp.eu,escp,
27,Copenhagen Business School,Denmark,cbs.dk,copenhagen,
28,Tsinghua University (School of Economics and Management),China,tsinghua.edu.cn,tsinghua | tsinghua sem,
29,ESSEC Business School,France,essec.edu,essec,
30,Warwick Business School,United Kingdom,wbs.ac.uk | warwick.ac.uk,warwick | wbs,
31,Melbourne Business School,Australia,mbs.edu | unimelb.edu.au,melbourne business,
32,UNSW Business School (AGSM),Australia,unsw.edu.au,unsw | agsm,
33,Cornell University (Johnson),United States,cornell.edu,cornell | johnson,https://business.cornell.edu/faculty-research/accounting/
34,Erasmus University Rotterdam (Rotterdam School of Management),Netherlands,rsm.nl | eur.nl,rsm | rotterdam school of management,
35,University of Southern California (Marshall),United States,usc.edu,usc | marshall,https://www.marshall.usc.edu/faculty-research/faculty-directory
36,Boston University (Questrom),United States,bu.edu,questrom | bu questrom,
37,University of Texas at Austin (McCombs),United States,utexas.edu,ut | ut austin | mccombs,https://www.mccombs.utexas.edu/faculty-and-research/faculty-directory/
38,Nanyang Technological University (Nanyang Business School),Singapore,ntu.edu.sg,nanyang | ntu singapore,
39,Alliance Manchester Business School,United Kingdom,manchester.ac.uk,alliance manchester,
40,Frankfurt School of Finance & Management,Germany,frankfurt-school.de,frankfurt school,
=41,China Europe International Business School (CEIBS),China,ceibs.edu,ceibs,
=41,Singapore Management University (Lee Kong Chian School of Business),Singapore,smu.edu.sg,lee kong chian | smu singapore,
43,EDHEC Business School,France,edhec.edu,edhec,
44,University of Sydney Business School,Australia,sydney.edu.au,usyd,
45,Indiana University (Kelley),United States,iu.edu,iu | kelley | indiana,https://kelley.iu.edu/faculty-research/faculty-directory/
=46,Carnegie Mellon University (Tepper),United States,cmu.edu,tepper | cmu,
=46,Mannheim Business School,Germany,mannheim-business-school.com | uni-mannheim.de,mannheim,
48,University of St. Gallen,Switzerland,unisg.ch,st gallen | hsg,
=49,emlyon business school,France,em-lyon.com,emlyon | em lyon,
=49,Hong Kong University of Science and Technology (HKUST Business School),Hong Kong,hkust.edu.hk,hkust,
51,University of Hong Kong (HKU Business School),Hong Kong,hku.hk,hku,
52,Indian Institute of Management Bangalore,India,iimb.ac.in,iimb | iim bangalore,
53,Georgia Institute of Technology (Scheller),United States,gatech.edu,georgia tech | scheller | gatech,
54,Johns Hopkins University (Carey Business School),United States,jhu.edu,johns hopkins | carey,
55,University of Toronto (Rotman),Canada,utoronto.ca,rotman | university of toronto,
56,EGADE Business School,Mexico,tec.mx,egade,
57,WHU – Otto Beisheim School of Management,Germany,whu.edu,whu | otto beisheim,
58,Indian Institute of Management Ahmedabad,India,iima.ac.in,iima | iim ahmedabad,
59,Peking University (Guanghua School of Management),China,pku.edu.cn,pku | guanghua,
60,University of Amsterdam (Amsterdam Business School),Netherlands,uva.nl,amsterdam business school,
61,Georgetown University (McDonough),United States,georgetown.edu,georgetown | mcdonough,
62,Dartmouth College (Tuck),United States,dartmouth.edu,dartmouth | tuck,
63,University of Florida (Warrington),United States,ufl.edu,uf | warrington | florida,https://warrington.ufl.edu/directory/
64,Indian Institute of Management Calcutta,India,iimcal.ac.in,iimc | iim calcutta,
65,POLIMI Graduate School of Management,Italy,polimi.it,polimi,
=66,Grenoble Ecole de Management,France,grenoble-em.com,grenoble | gem,
=66,University of Edinburgh Business School,United Kingdom,ed.ac.uk,edinburgh business | university of edinburgh,
68,Shanghai Jiao Tong University (Antai College of Economics and Management),China,sjtu.edu.cn,sjtu | antai,
69,Cranfield School of Management,United Kingdom,cranfield.ac.uk,cranfield,
70,University of Virginia (Darden),United States,virginia.edu,darden | uva darden,
71,Texas A&M University (Mays),United States,tamu.edu,tamu | mays | texas a&m,
72,Emory University (Goizueta),United States,emory.edu,emory | goizueta,
=73,Babson College (F.W. Olin Graduate School of Business),United States,babson.edu,babson | babson olin,
=73,McGill University (Desautels),Canada,mcgill.ca,mcgill | desautels,
75,Leeds University Business School,United Kingdom,leeds.ac.uk,leeds business | university of leeds,
76,Pennsylvania State University (Smeal),United States,psu.edu,penn state | psu | smeal,https://www.smeal.psu.edu/accounting/people/faculty
=77,Audencia Business School,France,audencia.com,audencia,
=77,University of Minnesota (Carlson),United States,umn.edu,minnesota carlson | carlson,
79,Washington University in St. Louis (Olin),United States,wustl.edu,washu | wustl | washu olin,https://olin.wustl.edu/faculty-and-research/academic-areas/accounting/
80,Michigan State University (Broad),United States,msu.edu,michigan state | msu | broad,
81,University of Washington (Foster),United States,uw.edu,uw | foster,https://foster.uw.edu/faculty-research/academic-departments/accounting/faculty/
=82,Fudan University (School of Management),China,fudan.edu.cn,fudan,
=82,Vlerick Business School,Belgium,vlerick.com,vlerick,
84,ESMT Berlin,Germany,esmt.berlin,esmt,
85,Chinese University of Hong Kong (CUHK Business School),Hong Kong,cuhk.edu.hk,cuhk,
=86,University of Cape Town Graduate School of Business,South Africa,uct.ac.za,uct | uct gsb | cape town gsb,
=86,University of Notre Dame (Mendoza),United States,nd.edu,notre dame | mendoza,https://mendoza.nd.edu/mendoza-directory/
88,INCAE Business School,Costa Rica,incae.edu,incae,
89,Rice University (Jones),United States,rice.edu,rice | rice jones,https://business.rice.edu/faculty-research/academic-areas/accounting
90,Durham University Business School,United Kingdom,durham.ac.uk,durham business | durham university,
91,University of Texas at Dallas (Jindal),United States,utdallas.edu,ut dallas | utd | jindal,
92,University of North Carolina at Chapel Hill (Kenan-Flagler),United States,unc.edu,unc | kenan flagler,https://www.kenan-flagler.unc.edu/faculty/
93,Western University (Ivey),Canada,uwo.ca,ivey | uwo,
94,Trinity College Dublin Business School,Ireland,tcd.ie,tcd | trinity college dublin,
95,Luiss Business School,Italy,luiss.it,luiss,
96,Bayes Business School,United Kingdom,citystgeorges.ac.uk | city.ac.uk,bayes,
97,George Washington University School of Business,United States,gwu.edu,gwu | george washington,
=98,City University of Hong Kong (College of Business),Hong Kong,cityu.edu.hk,cityu,
=98,Qatar University (College of Business and Economics),Qatar,qu.edu.qa,qatar university | qu qatar,
=99,University of Queensland Business School,Australia,uq.edu.au,uq,
=99,York University (Schulich),Canada,yorku.ca,schulich | york schulich,
,University of Illinois Urbana-Champaign (Gies),United States,illinois.edu,uiuc | gies,https://giesbusiness.illinois.edu/faculty-research/faculty-profiles?department=BA
,University of Georgia (Terry),United States,uga.edu,uga | terry,https://www.terry.uga.edu/faculty-research/departments/accounting/
